Producto,Cadereyta Precio por unidad,Cadereyta Cantidad ordenada,Coahuila Precio por unidad,Coahuila Cantidad ordenada,Durango Precio por unidad,Durango Cantidad ordenada,Expos F Precio por unidad,Expos F Cantidad ordenada,Laredo Precio por unidad,Laredo Cantidad ordenada,Monterrey Precio por unidad,Monterrey Cantidad ordenada,Online Precio por unidad,Online Cantidad ordenada,Queretaro Precio por unidad,Queretaro Cantidad ordenada,Reynosa Precio por unidad,Reynosa Cantidad ordenada,San Luis Precio por unidad,San Luis Cantidad ordenada,Fecha
Producto 28,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6936.7,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
Producto 29,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7630.62,7,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
Producto 30,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5202.2699999999995,7,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
Producto 16,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5869.085,7,0.0,0,6433.660000000001,3.5,0.0,0,0.0,0,2022-04-05
Producto 17,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9610.33,7,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
Producto 70,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5058.964999999999,7,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
Producto 71,0.0,0,7177.61,3.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
Producto 72,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,11878.949999999999,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
Producto 20,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,22818.77,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
Producto 21,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1379.9916666666668,21,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
Producto 73,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15376.03,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
Producto 36,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9620.460000000001,3.5,0.0,0,0.0,0,0.0,0,11814.59,3.5,2022-04-05
Producto 74,0.0,0,10869.83,3.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
Producto 38,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3344.4500000000003,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
Producto 40,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5223.49,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
Producto 75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,13544.27,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-05
